"","avg","count","child0_2","child3_5","child6_11","child12_16","child17_18","childrenNum","childString"
"1",47.2202702702703,7,1,0,0,1,1,3,"child 0_2, 12_16, 17_18"
"2",31.35,4,1,1,0,1,1,4,"child 0_2, 3_5, 12_16, 17_18"
"3",31.0813598519889,174,1,0,1,0,0,2,"child 0_2, 6_11,"
"4",28.2055745580368,63646,0,0,0,0,0,0,"child"
"5",27.5257575757576,28,0,1,1,1,1,4,"child 3_5, 6_11, 12_16, 17_18"
"6",27.0560362771335,2868,0,0,1,0,0,1,"child 6_11,"
"7",26.73114912847,1104,0,1,1,0,0,2,"child 3_5, 6_11,"
"8",26.3971865745311,199,0,0,1,0,1,2,"child 6_11, 17_18"
"9",26.2529371584699,616,1,1,0,0,0,2,"child 0_2, 3_5,"
"10",26.0571771355444,1477,0,0,1,1,0,2,"child 6_11, 12_16,"
"11",25.5819806069312,3278,0,0,0,1,0,1,"child 12_16,"
"12",25.5512861736334,46,1,0,1,1,0,3,"child 0_2, 6_11, 12_16,"
"13",25.5150858940237,1605,0,1,0,0,0,1,"child 3_5,"
"14",25.4061478933792,310,0,0,1,1,1,3,"child 6_11, 12_16, 17_18"
"15",24.5599345696697,3671,0,0,0,0,1,1,"child 17_18"
"16",24.4282608695652,59,1,1,1,1,0,4,"child 0_2, 3_5, 6_11, 12_16,"
"17",24.0666423357664,1996,0,0,0,1,1,2,"child 12_16, 17_18"
"18",23.9431972789116,129,0,1,0,1,0,2,"child 3_5, 12_16,"
"19",23.65,19,1,0,0,0,1,2,"child 0_2, 17_18"
"20",22.834567645842,951,1,0,0,0,0,1,"child 0_2,"
"21",22.4758007117438,429,1,1,1,0,0,3,"child 0_2, 3_5, 6_11,"
"22",21.6139784946237,47,1,0,0,1,0,2,"child 0_2, 12_16,"
"23",21.4847593582888,272,0,1,1,1,0,3,"child 3_5, 6_11, 12_16,"
"24",20.3348920863309,43,0,1,0,1,1,3,"child 3_5, 12_16, 17_18"
"25",20.1590909090909,17,1,1,0,0,1,3,"child 0_2, 3_5, 17_18"
"26",19.7951776649746,51,0,1,0,0,1,2,"child 3_5, 17_18"
"27",18.3602564102564,18,1,1,0,1,0,3,"child 0_2, 3_5, 12_16,"
"28",17.7075757575758,4,1,1,1,1,1,5,"child 0_2, 3_5, 6_11, 12_16, 17_18"
"29",17.1309523809524,13,0,1,1,0,1,3,"child 3_5, 6_11, 17_18"
"30",15.2326086956522,3,1,0,1,1,1,4,"child 0_2, 6_11, 12_16, 17_18"
"31",14.6030612244898,3,1,1,1,0,1,4,"child 0_2, 3_5, 6_11, 17_18"
"32",14.0377192982456,3,1,0,1,0,1,3,"child 0_2, 6_11, 17_18"
