,business_id,date,likes,text,type,user_id
0,W3THJEcoHZZKgdJJdiFIWw,,,,,
1,aFVO6hoFlOCN8pKsmJbWjw,2015-05-13,0.0,Fab for gluten free food options with knowledgable staff and includes two gluten free beers :-),tip,YslVzCJPQoeOwqnYduJlyQ
2,aFVO6hoFlOCN8pKsmJbWjw,2015-08-30,0.0,While in Edinburgh deep fried haggis balls served with straw potato are worth a try,tip,HYMUT50yoo7A69KxJXnPbQ
3,aFVO6hoFlOCN8pKsmJbWjw,2015-12-09,0.0,Haggis bon bons and mulled wine! Bistro restaurant section is upstairs to the bar and reservations are recommended.,tip,-nvivF0jSExZDSwEUcqo3A
4,7Iuq-HV4iA5InilfGdjMuw,,,,,
5,2LZtHTbbN5xA3PcPzFsXlQ,2012-03-03,0.0,Great pies. Decent prices for the location.,tip,ynGxw3zZqAjahVou563zXQ
6,2LZtHTbbN5xA3PcPzFsXlQ,2012-07-04,0.0,"In a word: uninspiring, other than for Conan Doyle's Ma, who, it is alleged, pushed him out somewhere in the approximate vicinity.",tip,mR72Js0M-svWAqC9MRUTiA
7,2LZtHTbbN5xA3PcPzFsXlQ,2010-12-28,0.0,First time Haggis and it was delish!,tip,g2Ac1IZUqQuxa0_uG8-Cbw
8,f_adZ5jM1k9uABuleJmGpw,,,,,
9,XeX67II3LlNJ49-sg4gDig,,,,,
10,QXUzUvUp8_sCDzp7f4_ToQ,2013-01-21,0.0,No mobile coverage inside so checkin before you enter or grab the wifi password from the bar staff :),tip,qaFZKPTO4LptjEXiOceODg
11,QXUzUvUp8_sCDzp7f4_ToQ,2012-01-03,0.0,"A great quiet wine cellar. Very popular with the local Edinburgh crowd, here for over 20 years. Great wine selection, OK food.",tip,xazVwU4K_jSZu5rkDxyfgw
12,hFm60FnwvZJQXEVeEtUuaw,,,,,
13,NXsVHhf1WBhjNPCVlT4dEw,,,,,
14,F1-S8DkAsFIyrkfTl9MmlA,2013-07-07,0.0,"Tried haggis, neeps, and tatties for the first time here at the café and was pleasantly surprised. It came in the perfect tasting size.",tip,VZLuJRM5qNVkxj3wRI7f-A
15,F1-S8DkAsFIyrkfTl9MmlA,2014-12-24,0.0,Beautiful. Another good place to get Scottish history.,tip,LOaX8KlbbnIuYYZCc758OA
16,F1-S8DkAsFIyrkfTl9MmlA,2015-11-29,0.0,Free today!,tip,4RU4zU3yDA3ewvrqE6kHLg
17,F1-S8DkAsFIyrkfTl9MmlA,2012-11-21,0.0,Admission is free on St Andrew's Day - the only day of the year they offer free admission!,tip,gxNLfuOCnHrH5kVVWhFDiQ
18,wjytooLlvPSyo8kvJ8UfQg,2014-11-19,0.0,Free to enter!,tip,JySNI9tIhmFFtUorc4zkwg
19,wjytooLlvPSyo8kvJ8UfQg,2014-01-20,0.0,Is free!!,tip,KMplxDK7d5FTD_5YbCUkIQ
20,u8AHL_4-zkivi7NDv_oApg,,,,,
21,yQMRUN3WlbZH-Fq__ubvXw,,,,,
22,hPKGcV4eh-6uoWrQToMIjw,2011-08-24,0.0,An overwhelming warren of spaces,tip,VBMd2f0ZQio7z8SQXK4r_w
23,L5cQjBQu6qnV_grmvk-drg,2012-11-16,0.0,Small gig so allow time in your schedule to beat the lunch rush.,tip,WPapRBgr61wnsM_4TEZgNg
24,tAoUsufHhcTRZEBTwmC68g,,,,,
25,QopG-46G0EIeePT8q-4JtQ,2012-12-23,0.0,Bloody Mary!,tip,tZs84cKAUSOtP_nAiSdreQ
26,QopG-46G0EIeePT8q-4JtQ,2013-06-29,0.0,Bon appétit !,tip,josuZwETSsqZ0v1ElPYwtw
27,QopG-46G0EIeePT8q-4JtQ,2014-02-16,0.0,Awesome beer and wine.list!,tip,KMplxDK7d5FTD_5YbCUkIQ
28,QopG-46G0EIeePT8q-4JtQ,2014-11-06,0.0,Stay away from the ribs,tip,M2pXDnR9uiBT55F40N6SDQ
29,QopG-46G0EIeePT8q-4JtQ,2012-10-07,0.0,"Had Brunch here today...Average is an understatement...Yikes!  Wasn't 1st choice, given that Broughton St has SO many options! Never again!",tip,Xk8WOG4_2sayloIV7A7Y8g
30,8RXIwWR34JunHKd00UU4wA,2012-04-28,0.0,"Current wifi password is ""greentea""",tip,Y4VovHrkfqDOdy9ZB5nntg
31,8RXIwWR34JunHKd00UU4wA,2012-12-15,0.0,Prized seat is near the fire downstairs!,tip,6ux_7Z6ycYYvC8PNxQbWfw
32,8RXIwWR34JunHKd00UU4wA,2014-05-04,0.0,Lovely place for a coffee and a cake. I've heard they serve a lovely lunch as well.,tip,eWYpoDd9x6cnQpY9IicQGQ
33,8RXIwWR34JunHKd00UU4wA,2014-11-21,0.0,Sehr guter Kaffee!,tip,xy3xmz1xh9wNiEGYvDixvA
34,8RXIwWR34JunHKd00UU4wA,2015-06-08,0.0,Cute and cosey. Friendly staff with great coffee and yummies!,tip,unSZMe3HQ3g8jQZ1CExsnw
35,8RXIwWR34JunHKd00UU4wA,2015-09-03,0.0,"Amazing scones!

Stopped for tea and light snack. Really enjoyed the scones.",tip,n0mTmQMTmr5vGGCbsP_-PQ
36,8RXIwWR34JunHKd00UU4wA,2015-12-06,0.0,"Some breakfast 8-11:30, and some other all day breakfast till 3:30pm",tip,gxNLfuOCnHrH5kVVWhFDiQ
37,8RXIwWR34JunHKd00UU4wA,2012-01-28,0.0,Massive brownies!,tip,PH-TR5VxMTOmOscSeufDMw
38,m9D6h0NRuVSQkFpyLZQcpQ,,,,,
39,tHLEoHBZtjH1G_ONnKwRNg,,,,,
40,vW_krCghxf4GYPRfkgZ06A,2012-02-23,0.0,Kubrick season!,tip,w6ZQwutFCvmM2cYXbZjB9Q
41,vW_krCghxf4GYPRfkgZ06A,2012-05-26,0.0,Its Wes Anderson season!,tip,wx12_24dFiL1Pc0H_PygLw
42,vW_krCghxf4GYPRfkgZ06A,2012-01-22,0.0,Australian fare at today's Cameo double bill.,tip,L1Gtm7ovUSb98XG1P19oNw
43,NkyjMfpdpYBKIarzVqY6yw,2013-11-04,0.0,Get there early for good seats!!,tip,fHKLNyxXoLkmK79zQVh0ig
44,NkyjMfpdpYBKIarzVqY6yw,2011-11-18,0.0,"Get there early to get a table and some food. And don't pick the tables at the front, obviously...",tip,hWsetj0Vyv7sDpJkr6HAOA
45,FfCUl9Bqt3QrL0xtkPDQXg,,,,,
46,KqgeyLdYbfsd9veyR6UGtw,2012-05-04,0.0,Prawn and venison steak and daiquiris and awesome company.,tip,wx12_24dFiL1Pc0H_PygLw
47,KqgeyLdYbfsd9veyR6UGtw,2012-06-07,0.0,Mmm lovely chilled wine!,tip,Ij0a9He_Aq0LPjuyIGvJSw
48,KqgeyLdYbfsd9veyR6UGtw,2013-01-25,0.0,Great craic,tip,TV2x0Wc8ZfmsUgQEt67b_A
49,KqgeyLdYbfsd9veyR6UGtw,2013-03-09,0.0,Watch the rugby here!,tip,OskgfrWPNYEQVLMOrNjF6A
50,KqgeyLdYbfsd9veyR6UGtw,2014-11-29,0.0,Deadly negroni! Well worth the stop in!,tip,JySNI9tIhmFFtUorc4zkwg
51,KqgeyLdYbfsd9veyR6UGtw,2015-06-19,0.0,Great spot for lunch as it's quiet during the week.,tip,JySNI9tIhmFFtUorc4zkwg
52,KqgeyLdYbfsd9veyR6UGtw,2012-01-08,0.0,"A good, chilled crowd on a Sunday, with regular, live music.",tip,Yo6WTjxu9mnitbm4639owA
53,Nq_BMV7kyx9_C3w0Jip6CA,2012-06-14,0.0,Looking a bit dreary and stripped out as they're about to close for refurbishment! Didn't stop the folk from coming though...busy pub with a lovely atmosphere!,tip,fWSwi74Zk1mscAQcIABMuw
54,Nq_BMV7kyx9_C3w0Jip6CA,2012-07-10,0.0,Newly renovated looks great,tip,OskgfrWPNYEQVLMOrNjF6A
55,Nq_BMV7kyx9_C3w0Jip6CA,2013-12-21,0.0,Awesome food and services. Recommend sausage and mash!,tip,raf7Qqr3EgRuylIU1nH96g
56,Nq_BMV7kyx9_C3w0Jip6CA,2014-02-21,0.0,Their Nicholson beer creamy and light,tip,KMplxDK7d5FTD_5YbCUkIQ
57,Nq_BMV7kyx9_C3w0Jip6CA,2014-04-21,0.0,"Its better than we thought, but touristy for sure.",tip,dO8OqhxTkAwiyXPMbQ66eg
58,Nq_BMV7kyx9_C3w0Jip6CA,2015-11-13,0.0,Great selection of Gins and Feverview Tonic,tip,jDoOyZAcRepPWthQwLl71Q
59,zBG2vQ0A6F5HQkv_aeWfAQ,2013-05-18,0.0,What's up with Bank? Re-mod or have they gone out of business? (May '13),tip,o64IkZLYluCHlDtWzQE71Q
60,zBG2vQ0A6F5HQkv_aeWfAQ,2013-02-28,0.0,great meetup point!,tip,tZs84cKAUSOtP_nAiSdreQ
61,zpsDyx9wh7LYjtBLTpu_-w,2011-04-06,0.0,Nice range of cask offerings. Few choices but decent pub grub in bar. Cheese plate is monstrous.,tip,02RDnE3850y-PRoE53ja6w
62,zpsDyx9wh7LYjtBLTpu_-w,2012-07-24,0.0,Tuesday drinkies and Olympics trip planning!,tip,fWSwi74Zk1mscAQcIABMuw
63,zpsDyx9wh7LYjtBLTpu_-w,2012-11-10,0.0,Pub qui réunit tous les gens après le travail. Excellente ambiance !,tip,DsDcvBq_3-TmUIXLhEB1GQ
64,zpsDyx9wh7LYjtBLTpu_-w,2014-10-31,0.0,Breakfast served between 10:00 an 12:00 on Saturday and Sunday (no porridge though!),tip,pbzl_e8Dt2-bkWhA2iYZ6g
65,zpsDyx9wh7LYjtBLTpu_-w,2015-08-14,0.0,Affreux! A eviter!,tip,06g2umoOF_3A4KD-Dxt_hg
66,zpsDyx9wh7LYjtBLTpu_-w,2015-11-02,0.0,Edinburgh institution with full- on Victorian interior. Look out for the antique tiger mirror on the turn of the stairs.,tip,lKKNoVPM8DYstCRBUc5bxQ
67,zpsDyx9wh7LYjtBLTpu_-w,2015-12-09,0.0,Great beer selection and some of the friendliest bar tenders in the city :-),tip,RvyBcMVefE8BADMo0Dl48Q
68,y8ZHR3cH2Dm15gjwk3P87Q,,,,,
69,-F1ktE7JM6vpIoF16CAyjQ,,,,,
70,QPsNlmETw14k-_RqX-RULw,2012-02-16,0.0,The ceiling.,tip,w6ZQwutFCvmM2cYXbZjB9Q
71,QPsNlmETw14k-_RqX-RULw,2012-05-02,0.0,Ignore the hours posted on Yelp; I'm here at 2:45pm on a Weds!,tip,Y4VovHrkfqDOdy9ZB5nntg
72,QPsNlmETw14k-_RqX-RULw,2013-02-28,0.0,Has a huge bar and wide assortment of vodkas,tip,OskgfrWPNYEQVLMOrNjF6A
73,QPsNlmETw14k-_RqX-RULw,2013-02-28,0.0,"Thanks Bar Kohl, Jenny and Yelp for an awesome yelp elite event!",tip,o64IkZLYluCHlDtWzQE71Q
74,QPsNlmETw14k-_RqX-RULw,2013-04-11,0.0,vodka! bloody Mary with stoli chili!,tip,tZs84cKAUSOtP_nAiSdreQ
75,QPsNlmETw14k-_RqX-RULw,2013-04-11,0.0,They pre-chill the martini glasses - always a good sign.,tip,MaxaY-P91WjOtGViSLK99w
76,QPsNlmETw14k-_RqX-RULw,2013-10-25,0.0,"They have loads of different gins, including Edinburgh Gin's spiced orange edition. Hello!",tip,TV2x0Wc8ZfmsUgQEt67b_A
77,QPsNlmETw14k-_RqX-RULw,2014-07-07,0.0,The Edinburgh pop sharing tipple is amazing!,tip,OA9I8dKT9Uims5rp7YFKzA
78,QPsNlmETw14k-_RqX-RULw,2014-12-11,0.0,They have grapefruit gin!,tip,-QSNRIxny2I26yJT82OWtA
79,QPsNlmETw14k-_RqX-RULw,2014-12-11,0.0,The Rosemary gin is amazing!,tip,-QSNRIxny2I26yJT82OWtA
80,QPsNlmETw14k-_RqX-RULw,2014-12-30,0.0,They're playing Gorillaz and the cocktails are solid. Happy!,tip,rTdwemX2MOIEKZ-ev_KVeA
81,QPsNlmETw14k-_RqX-RULw,2015-03-08,0.0,"Closed down, now Slighouse",tip,OA9I8dKT9Uims5rp7YFKzA
82,QPsNlmETw14k-_RqX-RULw,2011-08-15,0.0,"Ordered the ""cougar"" burger, Cajun style.",tip,wx12_24dFiL1Pc0H_PygLw
83,pM4RA9OXTsJn7cR9ilsmQA,,,,,
84,rkk2gLhqB3P5lwaGeBiDqQ,2011-08-07,0.0,Love the Elph artwork,tip,9HAZQakDPMi1uBhFZQyOpQ
85,rkk2gLhqB3P5lwaGeBiDqQ,2012-08-17,0.0,Out for birthday drinks. Come join me if you're free!,tip,wx12_24dFiL1Pc0H_PygLw
86,rkk2gLhqB3P5lwaGeBiDqQ,2012-11-24,0.0,Lovely mulled cider!,tip,uq9tCNnMJxM4QNrbUC2tfQ
87,rkk2gLhqB3P5lwaGeBiDqQ,2013-02-22,0.0,"Delish! Popped in for a spot of lunch while on vacation in Edinburgh. Staff was attentive and warm. Food was fresh, tasty and lick-the-spoon-clean good!! Bonus: great music! Could sit here all day. The cocktail list looks amazing, maybe a pm visit before heading back to the states.",tip,JCESis-wnTic8dp_37DxMw
88,rkk2gLhqB3P5lwaGeBiDqQ,2013-02-24,0.0,The water is served with watermelon and mint in it and is delicious!,tip,uq9tCNnMJxM4QNrbUC2tfQ
89,rkk2gLhqB3P5lwaGeBiDqQ,2013-04-03,0.0,"Cool atmosphere , great beer and good food. Definitely will come again even if its just for drinks , their mixed drink menu looked awesome.",tip,t8mTGXXe8u5WF7mvN09zRg
90,rkk2gLhqB3P5lwaGeBiDqQ,2013-06-27,0.0,Fantastic deals on bottles of prosecco!,tip,Bvphbgy_mGdjIv0ZWbszMg
91,rkk2gLhqB3P5lwaGeBiDqQ,2014-07-07,0.0,Closed: getting their floors done tonight!,tip,OA9I8dKT9Uims5rp7YFKzA
92,rkk2gLhqB3P5lwaGeBiDqQ,2015-08-07,0.0,"If you like Gin. Try the ""ginny Hendricks"" cocktail.",tip,TV2x0Wc8ZfmsUgQEt67b_A
93,rkk2gLhqB3P5lwaGeBiDqQ,2011-03-15,0.0,Ask what's new--it's not all on the drinks menu.,tip,I573IlRiSu5Sahc3gNQvrA
94,AYobEbZ5JZ3WuEQaQnRXvQ,,,,,
95,NLjG1EDhI2Aa71ZoLFqbQQ,2015-01-28,0.0,Meeting colleagues here - didn't know they have wifi! Great find!!!,tip,Xk8WOG4_2sayloIV7A7Y8g
96,NLjG1EDhI2Aa71ZoLFqbQQ,2015-08-10,0.0,Recently had,tip,zcfLbeipH2EvJPIgY46ppw
97,Rza-FztnKi8YfcSkn1KxgQ,2013-05-31,0.0,Great space for large events,tip,o64IkZLYluCHlDtWzQE71Q
98,yH9ir4281i2RHsXtfzghvg,,,,,
99,kRMmce-qdD06nm4ESno_3g,2013-06-14,0.0,"Had heard a lot about this place so wanted to try it out. Friendly staff, a great selection of sausages (the pork, ginger and mango is a winner) and a useful area with recipe leaflets to try out by the counter. And they stock Mellis cheese, the holy combination...meat and cheese!",tip,yjfA4kaVZkb2mSRcst0AYg
100,kRMmce-qdD06nm4ESno_3g,2014-01-23,0.0,"Their hog roast on Thursday lunch is amazing, gotta get there around 12:30-40 or you'll miss out.",tip,Z5F91_JiTdWwIFoD9ZqcSA
101,kRMmce-qdD06nm4ESno_3g,2012-06-02,0.0,Try lots of free sausage at the till!,tip,hWsetj0Vyv7sDpJkr6HAOA
102,8uMP4kv2Je6rM9ZNz0apGw,2014-05-29,0.0,No American Express accepted here. Nice bar. Pop music played though. Doesn't jive with feel,tip,stf-Vjh-wMNVVsCyxgr44w
103,AzCkY5u4WRGyj33XIWK5FA,,,,,
104,71Jz93r-PIkXpAP9Od_YwA,2015-12-11,0.0,Jam every Thursday 9-12. I think it's folk/celtic on alternating weeks!,tip,h4tfHGODErFCFrg6KEZ3xw
105,VxbK-VANsEOzqxTh_GzvzQ,2013-05-29,0.0,"Excellent special event venue, not to be confused with the Tron Pub located on the other side of Hunter SQ",tip,o64IkZLYluCHlDtWzQE71Q
