,attributes_Accepts Credit Cards,attributes_Accepts Insurance,attributes_Ages Allowed,attributes_Alcohol,attributes_Ambience,attributes_Attire,attributes_BYOB,attributes_BYOB/Corkage,attributes_By Appointment Only,attributes_Caters,attributes_Coat Check,attributes_Corkage,attributes_Delivery,attributes_Dietary Restrictions,attributes_Dogs Allowed,attributes_Drive-Thru,attributes_Good For,attributes_Good For Dancing,attributes_Good For Groups,attributes_Good for Kids,attributes_Hair Types Specialized In,attributes_Happy Hour,attributes_Has TV,attributes_Music,attributes_Noise Level,attributes_Open 24 Hours,attributes_Order at Counter,attributes_Outdoor Seating,attributes_Parking,attributes_Price Range,attributes_Smoking,attributes_Take-out,attributes_Takes Reservations,attributes_Waiter Service,attributes_Wheelchair Accessible,attributes_Wi-Fi,business_id,categories,city,full_address,hours_Friday,hours_Monday,hours_Saturday,hours_Sunday,hours_Thursday,hours_Tuesday,hours_Wednesday,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type
31516,TRUE,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': True, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,FALSE,TRUE,,FALSE,,FALSE,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",FALSE,TRUE,FALSE,,FALSE,TRUE,{u'dj': False},average,,,FALSE,"{u'garage': False, u'street': True, u'lot': False, u'valet': False}",2,no,FALSE,TRUE,TRUE,FALSE,no,aFVO6hoFlOCN8pKsmJbWjw,"Gastropubs,Bars,Scottish,Nightlife,Restaurants",Edinburgh,"15-16 Market Street
Old Town
Edinburgh EH1 1DE","{u'close': u'22:30', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:30', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}",55.95089628,-3.190759422,The Doric,"Old Town,Royal Mile",TRUE,36,4,EDH,business
31519,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,FALSE,,,,,,,,,f_adZ5jM1k9uABuleJmGpw,"British,Restaurants",Edinburgh,"144 High Street
Newington
Edinburgh EH1 1QS",,,,,,,,55.9497989,-3.1887087,Wee Windaes,"Newington,Old Town,Royal Mile",FALSE,4,3,EDH,business
31521,TRUE,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,TRUE,FALSE,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': False, u'breakfast': False}",FALSE,TRUE,TRUE,,FALSE,FALSE,"{u'dj': False, u'background_music': True, u'jukebox': False, u'live': False, u'video': False, u'karaoke': False}",quiet,,,TRUE,"{u'garage': False, u'validated': False, u'street': False, u'lot': False, u'valet': False}",2,outdoor,FALSE,TRUE,TRUE,FALSE,,QXUzUvUp8_sCDzp7f4_ToQ,"Wine Bars,Bars,Scottish,Nightlife,Restaurants",Edinburgh,"13 Hope Street
New Town
Edinburgh EH2 4EL","{u'close': u'00:00', u'open': u'12:00'}","{u'close': u'00:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'00:00', u'open': u'12:00'}","{u'close': u'00:00', u'open': u'12:00'}","{u'close': u'00:00', u'open': u'12:00'}","{u'close': u'00:00', u'open': u'12:00'}",55.95080289,-3.208256342,Whighams Wine Cellars,New Town,TRUE,18,4,EDH,business
31522,TRUE,,,none,,,,,,,,,,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,,,,,,,,,FALSE,,1,,,,,TRUE,no,hFm60FnwvZJQXEVeEtUuaw,"Thai,Chinese,Restaurants",Edinburgh,"Unit 4a Omni Centre
Greenside Place
New Town
Edinburgh EH1 3AA",,,,,,,,55.9570318,-3.1850222,China China,New Town,FALSE,8,2.5,EDH,business
31527,TRUE,,,beer_and_wine,,,,,,,TRUE,,,"{u'dairy-free': False, u'gluten-free': False, u'vegan': True, u'kosher': False, u'halal': False, u'soy-free': False, u'vegetarian': False}",,,,,,,,,,,,,,,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",3,,,TRUE,,TRUE,free,yQMRUN3WlbZH-Fq__ubvXw,"Bars,Nightlife,Scottish,Hotels & Travel,Event Planning & Services,Hotels,Restaurants",Edinburgh,"34 Bread Street
Old Town
Edinburgh EH3 9AF",,,,,,,,55.9458,-3.20387,Mercure Point Hotel Edinburgh Traverse @ Mercure Point Hotel,Old Town,FALSE,9,4,EDH,business
31529,TRUE,,,beer_and_wine,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': False, u'breakfast': False}",,TRUE,FALSE,,,,,,,,TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2,,FALSE,TRUE,TRUE,TRUE,no,L5cQjBQu6qnV_grmvk-drg,"French,Restaurants",Edinburgh,"38-40 Grassmarket
Grassmarket
Edinburgh EH1 2JU","{u'close': u'23:00', u'open': u'17:30'}",,"{u'close': u'23:00', u'open': u'17:30'}","{u'close': u'23:00', u'open': u'17:30'}","{u'close': u'23:00', u'open': u'17:30'}","{u'close': u'23:00', u'open': u'17:30'}","{u'close': u'23:00', u'open': u'17:30'}",55.9475695,-3.1965801,Petit Paris,"Grassmarket,Old Town",TRUE,30,4,EDH,business
31530,TRUE,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'upscale': False, u'touristy': False, u'trendy': False, u'hipster': False, u'casual': False}",,,,,,,,,,,,,,,,,,,,,,,,"{u'garage': False, u'street': False, u'lot': False, u'valet': False}",2,outdoor,,,,,,tAoUsufHhcTRZEBTwmC68g,"Pubs,Bars,Restaurants,Nightlife,Gastropubs",Edinburgh,"11 St Vincent Street
Stockbridge
Edinburgh EH3 6SW","{u'close': u'01:00', u'open': u'11:00'}","{u'close': u'01:00', u'open': u'11:00'}","{u'close': u'01:00', u'open': u'11:00'}","{u'close': u'01:00', u'open': u'12:30'}","{u'close': u'01:00', u'open': u'11:00'}","{u'close': u'01:00', u'open': u'11:00'}","{u'close': u'01:00', u'open': u'11:00'}",55.9580189,-3.2034289,St Vincent,"Stockbridge,New Town",TRUE,5,4,EDH,business
31531,TRUE,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': True}",casual,,,,TRUE,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'brunch': True, u'breakfast': False}",,TRUE,TRUE,,,FALSE,,quiet,,,TRUE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",2,,TRUE,TRUE,TRUE,TRUE,free,QopG-46G0EIeePT8q-4JtQ,"Steakhouses,American (Traditional),British,Barbeque,Restaurants",Edinburgh,"53-55 Broughton Street
New Town
Edinburgh EH1 3RJ","{u'close': u'22:30', u'open': u'11:00'}","{u'close': u'22:30', u'open': u'11:00'}","{u'close': u'22:30', u'open': u'11:00'}","{u'close': u'22:30', u'open': u'12:00'}","{u'close': u'22:30', u'open': u'11:00'}","{u'close': u'22:30', u'open': u'11:00'}","{u'close': u'22:30', u'open': u'11:00'}",55.9580631,-3.188962,Smoke Stack,New Town,TRUE,39,3.5,EDH,business
31532,TRUE,,,none,"{u'romantic': False, u'intimate': False, u'classy': False, u'upscale': False, u'touristy': False, u'trendy': False, u'casual': False}",casual,,,,,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': True, u'breakfast': False}",,TRUE,TRUE,,,FALSE,,average,,,TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2,,TRUE,FALSE,TRUE,TRUE,free,8RXIwWR34JunHKd00UU4wA,"Food,Coffee & Tea,Cafes,British,Restaurants",Edinburgh,"63a Cockburn Street
Old Town
Edinburgh EH1 1BS","{u'close': u'17:00', u'open': u'08:00'}","{u'close': u'17:00', u'open': u'08:00'}","{u'close': u'17:00', u'open': u'08:00'}","{u'close': u'17:00', u'open': u'08:00'}","{u'close': u'17:00', u'open': u'08:00'}","{u'close': u'17:00', u'open': u'08:00'}","{u'close': u'17:00', u'open': u'08:00'}",55.9506457,-3.1886819,Southern Cross Cafe,"Old Town,Royal Mile",TRUE,35,4,EDH,business
31534,,,,none,,casual,,,,,,,,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,,,,,,,,,FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2,,TRUE,FALSE,,,no,tHLEoHBZtjH1G_ONnKwRNg,"Food,Sandwiches,Delis,Coffee & Tea,Restaurants",Edinburgh,"24 Haymarket Terrace
West End
Edinburgh EH12 5JZ","{u'close': u'15:00', u'open': u'07:30'}","{u'close': u'15:00', u'open': u'07:30'}","{u'close': u'15:00', u'open': u'09:30'}",,"{u'close': u'15:00', u'open': u'07:30'}","{u'close': u'15:00', u'open': u'07:30'}","{u'close': u'15:00', u'open': u'07:30'}",55.9459828,-3.2199739,Sandwich Culture,"West End,Haymarket",TRUE,6,4,EDH,business
