OBJECTID,NEW2007,NEWWARD,WESTMINSTE,SCOTTISH,PLACE_LINK,POLLING_PL,ADDRESS,POSTCODE,FULL_AD,X,Y,Shapearea,Shapelen
1,WW01G,Almond,West,Western,WW01G,Hillwood Primary School,"66 Station Road, Ratho",EH28 8PT,"66 Station Road, Ratho, EH28 8PT",313184.4109,672292.3421,19868286.21,25436.33667
2,WW01C,Almond,West,Western,WW01C,Dalmeny Parish Church Hall,"22 Main Street, Dalmeny",EH30 9TU,"22 Main Street, Dalmeny, EH30 9TU",314422.6747,677451.6198,20665934.3,27713.77945
3,WW01D,Almond,West,Western,WW01D,Kirkliston Community Centre,"16-18 Queensferry Road, Kirkliston",EH29 9AQ,"16-18 Queensferry Road, Kirkliston, EH29 9AQ",312471.4571,674756.143,10777554.27,19939.50497
4,WW01E,Almond,West,Western,WW01E,Cramond Primary School,4 Cramond Crescent,EH4 6PG,"4 Cramond Crescent, EH4 6PG",318706.9361,676161.1786,4276490.403,13948.76533
5,SWW01Z,Almond,South West,Western,SWW01Z, , , , ,0,0,371716.5171,3907.349778
6,WW01B,Almond,West,Western,WW01B,Queensferry Primary School,"Burgess Road, South Queensferry",EH30 9NX,"Burgess Road, South Queensferry, EH30 9NX",312993.3961,678038.0202,1888591.739,6779.059171
7,WW01A,Almond,West,Western,WW01A,Echline Primary School,"Bo'ness Road, South Queensferry",EH30 9XJ,"Bo'ness Road, South Queensferry, EH30 9XJ",312043.7781,678140.3071,1441636.678,7477.379947
8,WW01F,Almond,West,Western,WW01F,Holy Cross Episcopal Church Hall,East Barnton Gardens,EH4 6AR,"East Barnton Gardens, EH4 6AR",320514.2898,675398.2393,3478824.517,9396.147317
9,NC11E,City Centre,North and Leith,Central,NC11E,Walpole Hall,26 Chester St,EH3 7EN,"26 Chester St, EH3 7EN",324092.8804,673579.5317,233883.736,2071.972536
10,EC11J,City Centre,East,Central,EC11J,Waverley Court,4 East Market Street,EH8 8BG,"4 East Market Street, EH8 8BG",326173.2349,673822.1488,356887.4081,3299.300649
11,EE11K,City Centre,East,Eastern,EE11K,Abbeyhill Primary School,5b Abbey Street,EH7 5SJ,"5b Abbey Street, EH7 5SJ",327075.2371,674337.152,405011.8435,3167.509717
12,EC11H,City Centre,East,Central,EC11H,Lothian Chambers,59-63 George IV Bridge,EH1 1RN,"59-63 George IV Bridge, EH1 1RN",325644.7781,673559.0866,854097.3637,4583.884449
13,SWC11F,City Centre,South West,Central,SWC11F,Tollcross Community Centre,117 Fountainbridge,EH3 9QG,"117 Fountainbridge, EH3 9QG",324723.9117,672942.9767,278817.0333,3156.396154
14,NC11C,City Centre,North and Leith,Central,NC11B/NC11C,"Cafe Camino, St. Mary's Parish Centre",1 Little King Street,EH1 3JD,"1 Little King Street, EH1 3JD",325944.2888,674296.6261,360635.339,2699.04737
15,NC11B,City Centre,North and Leith,Central,NC11B/NC11C,"Cafe Camino, St. Mary's Parish Centre",1 Little King Street,EH1 3JD,"1 Little King Street, EH1 3JD",325944.2888,674296.6261,627631.0516,4054.163437
16,NC11A,City Centre,North and Leith,Central,NC11A,The Roxburghe,33-34 Charlotte Square,EH2 4HQ,"33-34 Charlotte Square, EH2 4HQ",324780.7638,673835.8899,693783.5637,4345.198461
17,WC11D,City Centre,West,Central,WC05K/WC11D,Apex Haymarket Hotel,90 Haymarket Terrace (enter via Magdala Crescent),EH12 5LQ,"90 Haymarket Terrace (enter via Magdala Crescent), EH12 5LQ",323727.3906,673245.6922,255247.9247,2432.055202
18,EC11G,City Centre,East,Central,EC11G,Lauriston Halls,28 Lauriston Street,EH3 9DJ,"28 Lauriston Street, EH3 9DJ",325073.9119,673108.3819,205949.9766,2116.524275
19,SP08G,Colinton/Fairmilehead,South,Pentlands,SP08G,Fairmilehead Parish Church Hall,1a Frogston Road West,EH10 7AA,"1a Frogston Road West, EH10 7AA",324863.2185,668263.9149,2751255.302,9614.27359
20,SP08D,Colinton/Fairmilehead,South,Pentlands,SP08D,St Fillan's Church Hall,4 Buckstone Drive,EH10 6PD,"4 Buckstone Drive, EH10 6PD",324582.537,669143.3671,1574785.318,6996.095504
21,SWP08C,Colinton/Fairmilehead,South West,Pentlands,SWP08C,Pentland Primary School,4 Oxgangs Green,EH13 0BD,"4 Oxgangs Green, EH13 0BD",323854.7568,668886.0374,194448.9626,2077.7029
22,SWP08B,Colinton/Fairmilehead,South West,Pentlands,SWP08B,St John's Colinton Mains Church,223 Oxgangs Road North,EH13 9ED,"223 Oxgangs Road North, EH13 9ED",323330.5246,669134.4476,698602.7658,4092.469184
23,SWP08E,Colinton/Fairmilehead,South West,Pentlands,SWP08E,Dreghorn Loan Church Hall,22 Dreghorn Loan,EH13 0DE,"22 Dreghorn Loan, EH13 0DE",321668.2284,668769.8332,4681579.612,12725.52466
24,SWP08F,Colinton/Fairmilehead,South West,Pentlands,SWP08F,Pentland Community Centre,21 Oxgangs Brae,EH13 9LS,"21 Oxgangs Brae, EH13 9LS",323754.7938,668698.9415,5297073.984,12056.72274
25,SWP08A,Colinton/Fairmilehead,South West,Pentlands,SWP08A,St Cuthbert's Episcopal Church Hall,6 Westgarth Avenue,EH14 0BD,"6 Westgarth Avenue, EH14 0BD",321733.3468,668982.166,4938919.298,12969.12713
26,WC06G,Corstorphine/Murrayfield,West,Central,WC06G,Saughton Crescent Scout Hall,54 Saughton Crescent,EH12 5SP,"54 Saughton Crescent, EH12 5SP",321705.5855,672995.0844,1008874.399,4984.54116
27,WW06I,Corstorphine/Murrayfield,West,Western,WW06I,Carrick Knowe Parish Church Hall,118 Saughton Road North,EH12 7DR,"118 Saughton Road North, EH12 7DR",320236.7112,672072.7963,604631.767,4538.618925
28,WW06E,Corstorphine/Murrayfield,West,Western,WW06E,10th Craigalmond Scout Hall,31 Corstorphine High Street,EH12 7AZ,"31 Corstorphine High Street, EH12 7AZ",319824.2057,672646.5665,617167.6665,5229.290854
29,WW06F,Corstorphine/Murrayfield,West,Western,WW06F,Carrick Knowe Primary School,15a Lampacre Road,EH12 7HU,"15a Lampacre Road, EH12 7HU",320506.6961,672449.3222,337338.8921,3239.365267
30,WC06H,Corstorphine/Murrayfield,West,Central,WC06H,Roseburn Primary School,64 Roseburn Street,EH12 5PL,"64 Roseburn Street, EH12 5PL",322868.4742,672966.0851,883489.8886,4893.992657
31,WC06D,Corstorphine/Murrayfield,West,Central,WC06D,Murrayfield Parish Church Centre,2B Ormidale Terrace,EH12 6EQ,"2B Ormidale Terrace, EH12 6EQ",322626.1246,673254.8516,1187045.128,5537.988245
32,WC06C,Corstorphine/Murrayfield,West,Central,WC06C,Holiday Inn Edinburgh City West,107 Queensferry Road,EH4 3HL,"107 Queensferry Road, EH4 3HL",322491.1972,674338.2506,653818.1672,5015.331834
33,WW06A,Corstorphine/Murrayfield,West,Western,WW06A,Corstorphine St Ninian's Church Hall,St Ninian's Road,EH12 8AL,"St Ninian's Road, EH12 8AL",319825.2823,673008.7507,525825.0004,3147.47421
34,WW06B,Corstorphine/Murrayfield,West,Western,WW06B,St Anne's Parish Church Hall,1 Kaimes Rd,EH12 6JR,"1 Kaimes Rd, EH12 6JR",320554.5722,672855.9599,680190.5079,4301.660558
35,SWW06J,Corstorphine/Murrayfield,South West,Western,SWW06J,Mobile Polling Station,Roadway adjacent to 16 and 18 Forrester Park Gardens,EH12 6AN,"Roadway adjacent to 16 and 18 Forrester Park Gardens, EH12 6AN",320035.0537,671812.5487,130129.28,2162.755928
36,EE14J,Craigentinny/Duddingston,East,Eastern,EE14J,Duddingston Primary School,70a Duddingston Road,EH15 1SW,"70a Duddingston Road, EH15 1SW",329450.1185,673334.3222,1291431.548,7225.959673
37,EE14C,Craigentinny/Duddingston,East,Eastern,EE14C,Craigentinny St Christopher's Church Hall,77-79 Craigentinny Road,EH7 6QL,"77-79 Craigentinny Road, EH7 6QL",329221.6499,674759.5377,1673786.207,7627.133532
38,EE14B,Craigentinny/Duddingston,East,Eastern,EE14B,Craigentinny Community Centre,9 Loaning Road,EH7 6JE,"9 Loaning Road, EH7 6JE",328511.3696,674700.1031,686220.8524,4893.76398
39,EE14A,Craigentinny/Duddingston,East,Eastern,EE14A,St Ninian's RC Church Hall,232 Marionville Road,EH7 6BE,"232 Marionville Road, EH7 6BE",328012.206,674582.5983,610265.8206,4542.354281
40,EE14G,Craigentinny/Duddingston,East,Eastern,EE14G,Northfield/Willowbrae Community Centre,10 Northfield Road,EH8 7PP,"10 Northfield Road, EH8 7PP",328984.6964,673880.2772,820541.1962,4316.440132
41,EE14H,Craigentinny/Duddingston,East,Eastern,EE14H,Parson's Green Nursery School,60 Meadowfield Drive,EH8 7LU,"60 Meadowfield Drive, EH8 7LU",328693.8815,673333.4407,469465.9505,3117.674402
42,EE14F,Craigentinny/Duddingston,East,Eastern,EE14F,New Restalrig Parish Church Hall,1a Willowbrae Road,EH8 7DB,"1a Willowbrae Road, EH8 7DB",328376.2081,674135.7938,473953.8093,3588.73822
43,EE14D,Craigentinny/Duddingston,East,Eastern,EE14D,Holyrood Abbey Church Hall,83 London Road,EH7 5TT,"83 London Road, EH7 5TT",327416.9062,674388.1769,2763625.271,10464.47798
44,WW03B,Drum Brae/Gyle,West,Western,WW03B,Munro Community Centre,6 Parkgrove Street,EH4 7NT,"6 Parkgrove Street, EH4 7NT",319567.2888,674892.9666,697884.923,5263.042882
45,SWW03G,Drum Brae/Gyle,South West,Western,SWW03G,Lothian Valuation Joint Board Office,17A South Gyle Crescent,EH12 9FL,"17A South Gyle Crescent, EH12 9FL",318900.1129,671516.1238,711835.2692,4622.990708
46,WW03F,Drum Brae/Gyle,West,Western,WW03F,Gylemuir Primary School,10 Wester Broom Place,EH12 7RT,"10 Wester Broom Place, EH12 7RT",319191.1854,672425.2188,2106966.61,8208.262649
47,WW03E,Drum Brae/Gyle,West,Western,WW03E,Craigsbank Church Hall,19a Craigs Bank,EH12 8HD,"19a Craigs Bank, EH12 8HD",319104.5942,673036.4549,1375279.283,6597.988056
48,WW03D,Drum Brae/Gyle,West,Western,WW03D,Fox Covert Primary School,12a Clerwood Crescent,EH12 8PG,"12a Clerwood Crescent, EH12 8PG",320158.303,673982.3063,1185480.55,5818.119786
49,WW03C,Drum Brae/Gyle,West,Western,WW03C,The Rannoch Centre,6 Rannoch Terrace,EH4 7ES,"6 Rannoch Terrace, EH4 7ES",319721.8824,674301.0168,504296.25,4569.685356
50,WW03A,Drum Brae/Gyle,West,Western,WW03A,East Craigs Church Centre,8 Bughtlin Market,EH12 8XP,"8 Bughtlin Market, EH12 8XP",318644.1015,673838.0446,907957.3988,4702.887425
51,WW04B,Forth,West,Western,WW04B,North Edinburgh Arts Centre,15a Pennywell Court,EH4 4TZ,"15a Pennywell Court, EH4 4TZ",321838.169,676052.1909,710724.7569,5007.031518
52,WW04A,Forth,West,Western,WW04A,Muirhouse Millenium Centre,7 Muirhouse Medway,EH4 4RW,"7 Muirhouse Medway, EH4 4RW",321409.9813,675947.9588,701992.4368,4319.117347
53,NN04D,Forth,North and Leith,Northern & Leith,NN04D,Prentice Centre,1 Granton Mains Avenue,EH4 4GA,"1 Granton Mains Avenue, EH4 4GA",322358.8774,676619.8747,946780.1753,4610.357881
54,NN04C,Forth,North and Leith,Northern & Leith,NN04C,West Pilton Neighbourhood Centre,19 West Pilton Grove,EH4 4BY,"19 West Pilton Grove, EH4 4BY",322390.0951,676100.3156,642055.6683,3475.662497
55,NN04J,Forth,North and Leith,Northern & Leith,NN04J,Trinity Primary School,181 Newhaven Road,EH6 4QA,"181 Newhaven Road, EH6 4QA",325632.6173,676582.3493,376659.3837,2905.499316
