Indicator,Type,Source,Almond,Pentland Hills,Drum Brae Gyle,Forth,Inverleith,Corstorphine Murrayfield,Sighthill Gorgie,Colinton Fairmilehead,Fountainbridge Craiglockhart,Meadows Morningside,City Centre,Leith Walk,Leith ,Craigentinny Duddingston,Southside Newington,Liberton Gilmerton,Portobello Craigmillar
Zip,,,EH4,EH14,EH12,EH4,EH4,EH12,EH11,EH13,EH3,EH10,EH1,EH7,EH6,EH7,EH8,EH16,EH15
All,Total Population,Census,25016,23715,22221,33211,31112,22967,37298,24238,23994,34165,24150,31867,24931,25746,33223,33392,25380
Population: male,Total Population,Census,12117,11778,10694,16035,14873,10820,19174,11738,11833,16236,12346,15939,12573,12413,15845,15875,12075
Population: female,Total Population,Census,12899,11937,11527,17176,16239,12147,18124,12500,12161,17929,11804,15928,12358,13333,17378,17517,13305
Age: 0-4,Total Population,Census,1499,1261,1273,2601,1572,1333,2261,1519,1057,1373,655,1511,1560,1330,1281,2251,1826
Age: 5-11,Total Population,Census,2166,1819,1485,2659,1845,1516,2090,2005,1032,1633,602,1102,1104,1451,1543,2537,2050
Age: 12-15,Total Population,Census,1288,1172,954,1481,1245,974,1193,1331,641,1013,375,588,633,861,830,1652,1169
Age: 16-24,Total Population,Census,2194,3430,2276,3769,3016,2061,5751,2433,4330,8932,7070,4504,2780,2672,10450,3542,2658
Age: 25-44,Total Population,Census,5887,5366,5727,10638,10029,5998,14205,5514,8778,10334,9116,15805,10922,7921,8698,8783,7012
Age: 45-64,Total Population,Census,7338,6716,6418,7866,7976,6366,7649,7150,5232,6748,4319,5679,5224,6666,6062,9107,6820
Age: 65-84,Total Population,Census,4108,3558,3500,3660,4520,3889,3671,3744,2492,3308,1753,2258,2342,4247,3543,4657,3359
Age: 85+,Total Population,Census,536,393,588,537,909,830,478,542,432,824,260,420,366,598,816,863,486
Age: 0-15,Total Population,Census,4953,4252,3712,6741,4662,3823,5544,4855,2730,4019,1632,3201,3297,3642,3654,6440,5045
Age: 16-24,Total Population,Census,2194,3430,2276,3769,3016,2061,5751,2433,4330,8932,7070,4504,2780,2672,10450,3542,2658
Age: 25-44,Total Population,Census,5887,5366,5727,10638,10029,5998,14205,5514,8778,10334,9116,15805,10922,7921,8698,8783,7012
Age: 45-64,Total Population,Census,7338,6716,6418,7866,7976,6366,7649,7150,5232,6748,4319,5679,5224,6666,6062,9107,6820
Age: 65+,Total Population,Census,4644,3951,4088,4197,5429,4719,4149,4286,2924,4132,2013,2678,2708,4845,4359,5520,3845
Average annual household income,,Mosaic,47899,42861,41102,32492,49797,47242,26389,49795,37940,47080,41753,33528,33950,34235,41471,33348,32975
Average property value,,Mosaic,214212,187173,169228,135941,242755,221893,104156,235898,176929,242499,204027,146484,140732,142877,210800,131122,135996
