,name,address,zip,minrate,maxrate,longitude,latitude,desc_en
583,"Smart City Hostels by Safestay, Edinburgh",50 Blackfriars Street,EH1 1NE,10,450,-3.185744137,55.94919231,"Just off the Royal Mile in the heart of Edinburgh's Old Town, Smart City Hostels by Safestay, Edinburgh has free WiFi, a 24-hour front desk and a lively restaurant and bar. Edinburgh Waverley Rail Station is 400 metres away."
1691,Canadale Guest House,62 Pilrig Street,EH6 5AS,55.25,180,-3.180761933,55.9658104,"Opposite Pilrig Park, this quiet, beautifully restored Victorian villa is between Leith and Edinburgh city centre, a 15-minute walk from Princes Street shops. A bus stops right outside."
2140,Premier Inn Edinburgh Central,82 Lauriston Place,EH3 9DG,64.5,185.5,-3.199853897,55.94485024,"Superbly located in Edinburgh’s city centre location, this modern Premier Inn is just 10 minutes’ walk from Princes Street and Edinburgh Castle. Its spacious, modern rooms provide satellite TV."
2239,Old Waverley Hotel,43 Princes Street,EH2 2BY,75.6,289,-3.192955256,55.95286114,"On Edinburgh's famous Princes Street, Old Waverley Hotel offers elegant accommodation in the New Town area. Waverley rail station is a 1-minute walk away.  Many of the spacious rooms offer stunning views of Edinburgh Castle."
2294,Premier Inn Edinburgh City - Haymarket,1 Morrison Link,EH3 8DN,48.5,185.5,-3.214024007,55.94556294,"In Edinburgh city centre, less than 500 metres from Haymarket Rail Station, this modern hotel offers great value, with modern family-friendly en suite rooms and a restaurant-bar."
2486,Edinburgh Beachfront B&B,33 Straiton Place,EH15 2BA,,170,-3.1079299,55.95354516,"On the promenade in Edinburgh’s Portobello district, this Victorian town house has free Wi-Fi and parking. The city centre is a 15-minute bus journey away."
2666,Lyncliff B&B,4 Windsor Street,EH7 5JR,55,195,-3.182741404,55.95811224,"This city-centre bed and breakfast is within half a mile of Waverley Rail and Saint Andrew Square Bus Stations. Lyncliff offers warm, friendly service, free Wi-Fi and full English breakfasts."
2682,Euro Hostel Edinburgh Halls,"4/2 Kincaids Court,Cowgate. Off Guthrie St. ",EH1 1JH,,250,-3.188854158,55.94838807,"Just 150 metres from Edinburgh’s Royal Mile, these apartments are 8 minutes’ walk from Waverley Rail Station.  Individual rooms are available, sharing the apartment kitchen and bathrooms, or it is possible to rent a whole apartment."
2798,Southside Guest House,8 Newington Road,EH9 1QS,89,180,-3.179249167,55.93853602,"This stylish, family-run guest house is close to Edinburgh city centre and has easy access by bus. It has free parking, free Wi-Fi and attractive rooms with Freeview TVs and DVD players.  The Southside Guest House is a mile (1."
2872,Hotel Ceilidh-Donia,Marchhall Crescent,EH16 5HL,47.5,180,-3.168109953,55.93619844,"This small, family-run metro hotel has easy access by bus to Edinburgh city centre, less than 2 miles away. It offers free on-street parking, free Wi-Fi, attractive en suite rooms and a cosy bar."
