,business_id,date,likes,text,type,user_id
0,aFVO6hoFlOCN8pKsmJbWjw,2015-05-13,0.0,Fab for gluten free food options with knowledgable staff and includes two gluten free beers :-),tip,YslVzCJPQoeOwqnYduJlyQ
1,aFVO6hoFlOCN8pKsmJbWjw,2015-08-30,0.0,While in Edinburgh deep fried haggis balls served with straw potato are worth a try,tip,HYMUT50yoo7A69KxJXnPbQ
2,aFVO6hoFlOCN8pKsmJbWjw,2015-12-09,0.0,Haggis bon bons and mulled wine! Bistro restaurant section is upstairs to the bar and reservations are recommended.,tip,-nvivF0jSExZDSwEUcqo3A
3,f_adZ5jM1k9uABuleJmGpw,,,,,
4,QXUzUvUp8_sCDzp7f4_ToQ,2013-01-21,0.0,No mobile coverage inside so checkin before you enter or grab the wifi password from the bar staff :),tip,qaFZKPTO4LptjEXiOceODg
5,QXUzUvUp8_sCDzp7f4_ToQ,2012-01-03,0.0,"A great quiet wine cellar. Very popular with the local Edinburgh crowd, here for over 20 years. Great wine selection, OK food.",tip,xazVwU4K_jSZu5rkDxyfgw
6,hFm60FnwvZJQXEVeEtUuaw,,,,,
7,yQMRUN3WlbZH-Fq__ubvXw,,,,,
8,L5cQjBQu6qnV_grmvk-drg,2012-11-16,0.0,Small gig so allow time in your schedule to beat the lunch rush.,tip,WPapRBgr61wnsM_4TEZgNg
9,tAoUsufHhcTRZEBTwmC68g,,,,,
10,QopG-46G0EIeePT8q-4JtQ,2012-12-23,0.0,Bloody Mary!,tip,tZs84cKAUSOtP_nAiSdreQ
11,QopG-46G0EIeePT8q-4JtQ,2013-06-29,0.0,Bon appétit !,tip,josuZwETSsqZ0v1ElPYwtw
12,QopG-46G0EIeePT8q-4JtQ,2014-02-16,0.0,Awesome beer and wine.list!,tip,KMplxDK7d5FTD_5YbCUkIQ
13,QopG-46G0EIeePT8q-4JtQ,2014-11-06,0.0,Stay away from the ribs,tip,M2pXDnR9uiBT55F40N6SDQ
14,QopG-46G0EIeePT8q-4JtQ,2012-10-07,0.0,"Had Brunch here today...Average is an understatement...Yikes!  Wasn't 1st choice, given that Broughton St has SO many options! Never again!",tip,Xk8WOG4_2sayloIV7A7Y8g
15,8RXIwWR34JunHKd00UU4wA,2012-04-28,0.0,"Current wifi password is ""greentea""",tip,Y4VovHrkfqDOdy9ZB5nntg
16,8RXIwWR34JunHKd00UU4wA,2012-12-15,0.0,Prized seat is near the fire downstairs!,tip,6ux_7Z6ycYYvC8PNxQbWfw
17,8RXIwWR34JunHKd00UU4wA,2014-05-04,0.0,Lovely place for a coffee and a cake. I've heard they serve a lovely lunch as well.,tip,eWYpoDd9x6cnQpY9IicQGQ
18,8RXIwWR34JunHKd00UU4wA,2014-11-21,0.0,Sehr guter Kaffee!,tip,xy3xmz1xh9wNiEGYvDixvA
19,8RXIwWR34JunHKd00UU4wA,2015-06-08,0.0,Cute and cosey. Friendly staff with great coffee and yummies!,tip,unSZMe3HQ3g8jQZ1CExsnw
20,8RXIwWR34JunHKd00UU4wA,2015-09-03,0.0,"Amazing scones!

Stopped for tea and light snack. Really enjoyed the scones.",tip,n0mTmQMTmr5vGGCbsP_-PQ
21,8RXIwWR34JunHKd00UU4wA,2015-12-06,0.0,"Some breakfast 8-11:30, and some other all day breakfast till 3:30pm",tip,gxNLfuOCnHrH5kVVWhFDiQ
22,8RXIwWR34JunHKd00UU4wA,2012-01-28,0.0,Massive brownies!,tip,PH-TR5VxMTOmOscSeufDMw
23,tHLEoHBZtjH1G_ONnKwRNg,,,,,
24,FfCUl9Bqt3QrL0xtkPDQXg,,,,,
25,Nq_BMV7kyx9_C3w0Jip6CA,2012-06-14,0.0,Looking a bit dreary and stripped out as they're about to close for refurbishment! Didn't stop the folk from coming though...busy pub with a lovely atmosphere!,tip,fWSwi74Zk1mscAQcIABMuw
26,Nq_BMV7kyx9_C3w0Jip6CA,2012-07-10,0.0,Newly renovated looks great,tip,OskgfrWPNYEQVLMOrNjF6A
27,Nq_BMV7kyx9_C3w0Jip6CA,2013-12-21,0.0,Awesome food and services. Recommend sausage and mash!,tip,raf7Qqr3EgRuylIU1nH96g
28,Nq_BMV7kyx9_C3w0Jip6CA,2014-02-21,0.0,Their Nicholson beer creamy and light,tip,KMplxDK7d5FTD_5YbCUkIQ
29,Nq_BMV7kyx9_C3w0Jip6CA,2014-04-21,0.0,"Its better than we thought, but touristy for sure.",tip,dO8OqhxTkAwiyXPMbQ66eg
30,Nq_BMV7kyx9_C3w0Jip6CA,2015-11-13,0.0,Great selection of Gins and Feverview Tonic,tip,jDoOyZAcRepPWthQwLl71Q
31,zpsDyx9wh7LYjtBLTpu_-w,2011-04-06,0.0,Nice range of cask offerings. Few choices but decent pub grub in bar. Cheese plate is monstrous.,tip,02RDnE3850y-PRoE53ja6w
32,zpsDyx9wh7LYjtBLTpu_-w,2012-07-24,0.0,Tuesday drinkies and Olympics trip planning!,tip,fWSwi74Zk1mscAQcIABMuw
33,zpsDyx9wh7LYjtBLTpu_-w,2012-11-10,0.0,Pub qui réunit tous les gens après le travail. Excellente ambiance !,tip,DsDcvBq_3-TmUIXLhEB1GQ
34,zpsDyx9wh7LYjtBLTpu_-w,2014-10-31,0.0,Breakfast served between 10:00 an 12:00 on Saturday and Sunday (no porridge though!),tip,pbzl_e8Dt2-bkWhA2iYZ6g
35,zpsDyx9wh7LYjtBLTpu_-w,2015-08-14,0.0,Affreux! A eviter!,tip,06g2umoOF_3A4KD-Dxt_hg
36,zpsDyx9wh7LYjtBLTpu_-w,2015-11-02,0.0,Edinburgh institution with full- on Victorian interior. Look out for the antique tiger mirror on the turn of the stairs.,tip,lKKNoVPM8DYstCRBUc5bxQ
37,zpsDyx9wh7LYjtBLTpu_-w,2015-12-09,0.0,Great beer selection and some of the friendliest bar tenders in the city :-),tip,RvyBcMVefE8BADMo0Dl48Q
38,-F1ktE7JM6vpIoF16CAyjQ,,,,,
39,QPsNlmETw14k-_RqX-RULw,2012-02-16,0.0,The ceiling.,tip,w6ZQwutFCvmM2cYXbZjB9Q
40,QPsNlmETw14k-_RqX-RULw,2012-05-02,0.0,Ignore the hours posted on Yelp; I'm here at 2:45pm on a Weds!,tip,Y4VovHrkfqDOdy9ZB5nntg
41,QPsNlmETw14k-_RqX-RULw,2013-02-28,0.0,Has a huge bar and wide assortment of vodkas,tip,OskgfrWPNYEQVLMOrNjF6A
42,QPsNlmETw14k-_RqX-RULw,2013-02-28,0.0,"Thanks Bar Kohl, Jenny and Yelp for an awesome yelp elite event!",tip,o64IkZLYluCHlDtWzQE71Q
43,QPsNlmETw14k-_RqX-RULw,2013-04-11,0.0,vodka! bloody Mary with stoli chili!,tip,tZs84cKAUSOtP_nAiSdreQ
44,QPsNlmETw14k-_RqX-RULw,2013-04-11,0.0,They pre-chill the martini glasses - always a good sign.,tip,MaxaY-P91WjOtGViSLK99w
45,QPsNlmETw14k-_RqX-RULw,2013-10-25,0.0,"They have loads of different gins, including Edinburgh Gin's spiced orange edition. Hello!",tip,TV2x0Wc8ZfmsUgQEt67b_A
46,QPsNlmETw14k-_RqX-RULw,2014-07-07,0.0,The Edinburgh pop sharing tipple is amazing!,tip,OA9I8dKT9Uims5rp7YFKzA
47,QPsNlmETw14k-_RqX-RULw,2014-12-11,0.0,They have grapefruit gin!,tip,-QSNRIxny2I26yJT82OWtA
48,QPsNlmETw14k-_RqX-RULw,2014-12-11,0.0,The Rosemary gin is amazing!,tip,-QSNRIxny2I26yJT82OWtA
49,QPsNlmETw14k-_RqX-RULw,2014-12-30,0.0,They're playing Gorillaz and the cocktails are solid. Happy!,tip,rTdwemX2MOIEKZ-ev_KVeA
50,QPsNlmETw14k-_RqX-RULw,2015-03-08,0.0,"Closed down, now Slighouse",tip,OA9I8dKT9Uims5rp7YFKzA
