,attributes_Accepts Credit Cards,attributes_Accepts Insurance,attributes_Ages Allowed,attributes_Alcohol,attributes_Ambience,attributes_Attire,attributes_BYOB,attributes_BYOB/Corkage,attributes_By Appointment Only,attributes_Caters,attributes_Coat Check,attributes_Corkage,attributes_Delivery,attributes_Dietary Restrictions,attributes_Dogs Allowed,attributes_Drive-Thru,attributes_Good For,attributes_Good For Dancing,attributes_Good For Groups,attributes_Good for Kids,attributes_Hair Types Specialized In,attributes_Happy Hour,attributes_Has TV,attributes_Music,attributes_Noise Level,attributes_Open 24 Hours,attributes_Order at Counter,attributes_Outdoor Seating,attributes_Parking,attributes_Price Range,attributes_Smoking,attributes_Take-out,attributes_Takes Reservations,attributes_Waiter Service,attributes_Wheelchair Accessible,attributes_Wi-Fi,business_id,categories,city,full_address,hours_Friday,hours_Monday,hours_Saturday,hours_Sunday,hours_Thursday,hours_Tuesday,hours_Wednesday,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type,cusine,zip
31516,True,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': True, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,False,True,,False,,False,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",False,True,False,,False,True,{u'dj': False},average,,,False,"{u'garage': False, u'street': True, u'lot': False, u'valet': False}",2.0,no,False,True,True,False,no,aFVO6hoFlOCN8pKsmJbWjw,"Gastropubs,Bars,Scottish,Nightlife,Restaurants",Edinburgh,"15-16 Market Street
Old Town
Edinburgh EH1 1DE","{u'close': u'22:30', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:30', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}",55.9508962823,-3.19075942197,The Doric,"Old Town,Royal Mile",True,36,4.0,EDH,business,Scottish,EH1
31519,,,,,,,,,,,,,,,,,,,True,,,,,,,,,False,,,,,,,,,f_adZ5jM1k9uABuleJmGpw,"British,Restaurants",Edinburgh,"144 High Street
Newington
Edinburgh EH1 1QS",,,,,,,,55.9497989,-3.1887087,Wee Windaes,"Newington,Old Town,Royal Mile",False,4,3.0,EDH,business,British,EH1
31521,True,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,True,False,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': False, u'breakfast': False}",False,True,True,,False,False,"{u'dj': False, u'background_music': True, u'jukebox': False, u'live': False, u'video': False, u'karaoke': False}",quiet,,,True,"{u'garage': False, u'validated': False, u'street': False, u'lot': False, u'valet': False}",2.0,outdoor,False,True,True,False,,QXUzUvUp8_sCDzp7f4_ToQ,"Wine Bars,Bars,Scottish,Nightlife,Restaurants",Edinburgh,"13 Hope Street
New Town
Edinburgh EH2 4EL","{u'close': u'00:00', u'open': u'12:00'}","{u'close': u'00:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'00:00', u'open': u'12:00'}","{u'close': u'00:00', u'open': u'12:00'}","{u'close': u'00:00', u'open': u'12:00'}","{u'close': u'00:00', u'open': u'12:00'}",55.950802894,-3.20825634228,Whighams Wine Cellars,New Town,True,18,4.0,EDH,business,Scottish,EH2
31522,True,,,none,,,,,,,,,,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,True,,,,,,,,,False,,1.0,,,,,True,no,hFm60FnwvZJQXEVeEtUuaw,"Thai,Chinese,Restaurants",Edinburgh,"Unit 4a Omni Centre
Greenside Place
New Town
Edinburgh EH1 3AA",,,,,,,,55.9570318,-3.1850222,China China,New Town,False,8,2.5,EDH,business,Chinese,EH1
31527,True,,,beer_and_wine,,,,,,,True,,,"{u'dairy-free': False, u'gluten-free': False, u'vegan': True, u'kosher': False, u'halal': False, u'soy-free': False, u'vegetarian': False}",,,,,,,,,,,,,,,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",3.0,,,True,,True,free,yQMRUN3WlbZH-Fq__ubvXw,"Bars,Nightlife,Scottish,Hotels & Travel,Event Planning & Services,Hotels,Restaurants",Edinburgh,"34 Bread Street
Old Town
Edinburgh EH3 9AF",,,,,,,,55.9458,-3.20387,Mercure Point Hotel Edinburgh Traverse @ Mercure Point Hotel,Old Town,False,9,4.0,EDH,business,Scottish,EH3
31529,True,,,beer_and_wine,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,,,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': False, u'breakfast': False}",,True,False,,,,,,,,True,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2.0,,False,True,True,True,no,L5cQjBQu6qnV_grmvk-drg,"French,Restaurants",Edinburgh,"38-40 Grassmarket
Grassmarket
Edinburgh EH1 2JU","{u'close': u'23:00', u'open': u'17:30'}",,"{u'close': u'23:00', u'open': u'17:30'}","{u'close': u'23:00', u'open': u'17:30'}","{u'close': u'23:00', u'open': u'17:30'}","{u'close': u'23:00', u'open': u'17:30'}","{u'close': u'23:00', u'open': u'17:30'}",55.9475695,-3.1965801,Petit Paris,"Grassmarket,Old Town",True,30,4.0,EDH,business,French,EH1
31530,True,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'upscale': False, u'touristy': False, u'trendy': False, u'hipster': False, u'casual': False}",,,,,,,,,,,,,,,,,,,,,,,,"{u'garage': False, u'street': False, u'lot': False, u'valet': False}",2.0,outdoor,,,,,,tAoUsufHhcTRZEBTwmC68g,"Pubs,Bars,Restaurants,Nightlife,Gastropubs",Edinburgh,"11 St Vincent Street
Stockbridge
Edinburgh EH3 6SW","{u'close': u'01:00', u'open': u'11:00'}","{u'close': u'01:00', u'open': u'11:00'}","{u'close': u'01:00', u'open': u'11:00'}","{u'close': u'01:00', u'open': u'12:30'}","{u'close': u'01:00', u'open': u'11:00'}","{u'close': u'01:00', u'open': u'11:00'}","{u'close': u'01:00', u'open': u'11:00'}",55.9580189,-3.2034289,St Vincent,"Stockbridge,New Town",True,5,4.0,EDH,business,Gastropubs,EH3
31531,True,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': True}",casual,,,,True,,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'brunch': True, u'breakfast': False}",,True,True,,,False,,quiet,,,True,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",2.0,,True,True,True,True,free,QopG-46G0EIeePT8q-4JtQ,"Steakhouses,American (Traditional),British,Barbeque,Restaurants",Edinburgh,"53-55 Broughton Street
New Town
Edinburgh EH1 3RJ","{u'close': u'22:30', u'open': u'11:00'}","{u'close': u'22:30', u'open': u'11:00'}","{u'close': u'22:30', u'open': u'11:00'}","{u'close': u'22:30', u'open': u'12:00'}","{u'close': u'22:30', u'open': u'11:00'}","{u'close': u'22:30', u'open': u'11:00'}","{u'close': u'22:30', u'open': u'11:00'}",55.9580631,-3.188962,Smoke Stack,New Town,True,39,3.5,EDH,business,British,EH1
31532,True,,,none,"{u'romantic': False, u'intimate': False, u'classy': False, u'upscale': False, u'touristy': False, u'trendy': False, u'casual': False}",casual,,,,,,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': True, u'breakfast': False}",,True,True,,,False,,average,,,True,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2.0,,True,False,True,True,free,8RXIwWR34JunHKd00UU4wA,"Food,Coffee & Tea,Cafes,British,Restaurants",Edinburgh,"63a Cockburn Street
Old Town
Edinburgh EH1 1BS","{u'close': u'17:00', u'open': u'08:00'}","{u'close': u'17:00', u'open': u'08:00'}","{u'close': u'17:00', u'open': u'08:00'}","{u'close': u'17:00', u'open': u'08:00'}","{u'close': u'17:00', u'open': u'08:00'}","{u'close': u'17:00', u'open': u'08:00'}","{u'close': u'17:00', u'open': u'08:00'}",55.9506457,-3.1886819,Southern Cross Cafe,"Old Town,Royal Mile",True,35,4.0,EDH,business,British,EH1
31534,,,,none,,casual,,,,,,,,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,True,,,,,,,,,False,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2.0,,True,False,,,no,tHLEoHBZtjH1G_ONnKwRNg,"Food,Sandwiches,Delis,Coffee & Tea,Restaurants",Edinburgh,"24 Haymarket Terrace
West End
Edinburgh EH12 5JZ","{u'close': u'15:00', u'open': u'07:30'}","{u'close': u'15:00', u'open': u'07:30'}","{u'close': u'15:00', u'open': u'09:30'}",,"{u'close': u'15:00', u'open': u'07:30'}","{u'close': u'15:00', u'open': u'07:30'}","{u'close': u'15:00', u'open': u'07:30'}",55.9459828,-3.2199739,Sandwich Culture,"West End,Haymarket",True,6,4.0,EDH,business,Coffee & Tea,EH12
