business_id,checkin_info_0-0,checkin_info_0-1,checkin_info_0-2,checkin_info_0-3,checkin_info_0-4,checkin_info_0-5,checkin_info_0-6,checkin_info_1-0,checkin_info_1-1,checkin_info_1-2,checkin_info_1-3,checkin_info_1-4,checkin_info_1-5,checkin_info_1-6,checkin_info_10-0,checkin_info_10-1,checkin_info_10-2,checkin_info_10-3,checkin_info_10-4,checkin_info_10-5,checkin_info_10-6,checkin_info_11-0,checkin_info_11-1,checkin_info_11-2,checkin_info_11-3,checkin_info_11-4,checkin_info_11-5,checkin_info_11-6,checkin_info_12-0,checkin_info_12-1,checkin_info_12-2,checkin_info_12-3,checkin_info_12-4,checkin_info_12-5,checkin_info_12-6,checkin_info_13-0,checkin_info_13-1,checkin_info_13-2,checkin_info_13-3,checkin_info_13-4,checkin_info_13-5,checkin_info_13-6,checkin_info_14-0,checkin_info_14-1,checkin_info_14-2,checkin_info_14-3,checkin_info_14-4,checkin_info_14-5,checkin_info_14-6,checkin_info_15-0,checkin_info_15-1,checkin_info_15-2,checkin_info_15-3,checkin_info_15-4,checkin_info_15-5,checkin_info_15-6,checkin_info_16-0,checkin_info_16-1,checkin_info_16-2,checkin_info_16-3,checkin_info_16-4,checkin_info_16-5,checkin_info_16-6,checkin_info_17-0,checkin_info_17-1,checkin_info_17-2,checkin_info_17-3,checkin_info_17-4,checkin_info_17-5,checkin_info_17-6,checkin_info_18-0,checkin_info_18-1,checkin_info_18-2,checkin_info_18-3,checkin_info_18-4,checkin_info_18-5,checkin_info_18-6,checkin_info_19-0,checkin_info_19-1,checkin_info_19-2,checkin_info_19-3,checkin_info_19-4,checkin_info_19-5,checkin_info_19-6,checkin_info_2-0,checkin_info_2-1,checkin_info_2-2,checkin_info_2-3,checkin_info_2-4,checkin_info_2-5,checkin_info_2-6,checkin_info_20-0,checkin_info_20-1,checkin_info_20-2,checkin_info_20-3,checkin_info_20-4,checkin_info_20-5,checkin_info_20-6,checkin_info_21-0,checkin_info_21-1,checkin_info_21-2,checkin_info_21-3,checkin_info_21-4,checkin_info_21-5,checkin_info_21-6,checkin_info_22-0,checkin_info_22-1,checkin_info_22-2,checkin_info_22-3,checkin_info_22-4,checkin_info_22-5,checkin_info_22-6,checkin_info_23-0,checkin_info_23-1,checkin_info_23-2,checkin_info_23-3,checkin_info_23-4,checkin_info_23-5,checkin_info_23-6,checkin_info_3-0,checkin_info_3-1,checkin_info_3-2,checkin_info_3-3,checkin_info_3-4,checkin_info_3-5,checkin_info_3-6,checkin_info_4-0,checkin_info_4-1,checkin_info_4-2,checkin_info_4-3,checkin_info_4-4,checkin_info_4-5,checkin_info_4-6,checkin_info_5-0,checkin_info_5-1,checkin_info_5-2,checkin_info_5-3,checkin_info_5-4,checkin_info_5-5,checkin_info_5-6,checkin_info_6-0,checkin_info_6-1,checkin_info_6-2,checkin_info_6-3,checkin_info_6-4,checkin_info_6-5,checkin_info_6-6,checkin_info_7-0,checkin_info_7-1,checkin_info_7-2,checkin_info_7-3,checkin_info_7-4,checkin_info_7-5,checkin_info_7-6,checkin_info_8-0,checkin_info_8-1,checkin_info_8-2,checkin_info_8-3,checkin_info_8-4,checkin_info_8-5,checkin_info_8-6,checkin_info_9-0,checkin_info_9-1,checkin_info_9-2,checkin_info_9-3,checkin_info_9-4,checkin_info_9-5,checkin_info_9-6,type
W3THJEcoHZZKgdJJdiFIWw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aFVO6hoFlOCN8pKsmJbWjw,,,,,,,,,,,,,,,,2,1,2,,2,1,,1,,,1,,1,1,2,1,1,5,,,,,,,,2,,,,1,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,3,1,1,,,,2,,,,,,1,1,1,,1,,1,,,1,1,checkin
7Iuq-HV4iA5InilfGdjMuw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2LZtHTbbN5xA3PcPzFsXlQ,,,,,,,,,1,,,,,,,,,,,2,1,,,1,1,,,1,,1,,,3,,,1,,3,,1,1,,,1,1,,,4,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,3,,1,,1,1,,2,1,,,1,1,checkin
f_adZ5jM1k9uABuleJmGpw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XeX67II3LlNJ49-sg4gDig,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,1,,1,,1,,1,3,3,1,,,,,1,1,1,1,,,,,,2,,,,2,,2,,,1,,3,1,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,1,,checkin
QXUzUvUp8_sCDzp7f4_ToQ,,,,,,,,,,,,,,,,1,,,3,,,1,,3,,,2,,,,1,,,1,,,,,,1,1,1,,,,,1,1,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,1,1,,checkin
hFm60FnwvZJQXEVeEtUuaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXsVHhf1WBhjNPCVlT4dEw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-S8DkAsFIyrkfTl9MmlA,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,1,1,1,2,1,1,,2,1,3,2,,3,4,1,1,1,,,3,,2,,,1,,1,2,,1,,1,,1,2,,,1,,,,1,checkin
