business_id,date,likes,text,type,user_id
W3THJEcoHZZKgdJJdiFIWw,,,,,
aFVO6hoFlOCN8pKsmJbWjw,13/05/2015,0,Fab for gluten free food options with knowledgable staff and includes two gluten free beers :-),tip,YslVzCJPQoeOwqnYduJlyQ
aFVO6hoFlOCN8pKsmJbWjw,30/08/2015,0,While in Edinburgh deep fried haggis balls served with straw potato are worth a try,tip,HYMUT50yoo7A69KxJXnPbQ
aFVO6hoFlOCN8pKsmJbWjw,09/12/2015,0,Haggis bon bons and mulled wine! Bistro restaurant section is upstairs to the bar and reservations are recommended.,tip,#NAME?
7Iuq-HV4iA5InilfGdjMuw,,,,,
2LZtHTbbN5xA3PcPzFsXlQ,03/03/2012,0,Great pies. Decent prices for the location.,tip,ynGxw3zZqAjahVou563zXQ
2LZtHTbbN5xA3PcPzFsXlQ,04/07/2012,0,"In a word: uninspiring, other than for Conan Doyle's Ma, who, it is alleged, pushed him out somewhere in the approximate vicinity.",tip,mR72Js0M-svWAqC9MRUTiA
2LZtHTbbN5xA3PcPzFsXlQ,28/12/2010,0,First time Haggis and it was delish!,tip,g2Ac1IZUqQuxa0_uG8-Cbw
f_adZ5jM1k9uABuleJmGpw,,,,,
XeX67II3LlNJ49-sg4gDig,,,,,
QXUzUvUp8_sCDzp7f4_ToQ,21/01/2013,0,No mobile coverage inside so checkin before you enter or grab the wifi password from the bar staff :),tip,qaFZKPTO4LptjEXiOceODg
QXUzUvUp8_sCDzp7f4_ToQ,03/01/2012,0,"A great quiet wine cellar. Very popular with the local Edinburgh crowd, here for over 20 years. Great wine selection, OK food.",tip,xazVwU4K_jSZu5rkDxyfgw
hFm60FnwvZJQXEVeEtUuaw,,,,,
NXsVHhf1WBhjNPCVlT4dEw,,,,,
F1-S8DkAsFIyrkfTl9MmlA,07/07/2013,0,"Tried haggis, neeps, and tatties for the first time here at the caf̩ and was pleasantly surprised. It came in the perfect tasting size.",tip,VZLuJRM5qNVkxj3wRI7f-A
F1-S8DkAsFIyrkfTl9MmlA,24/12/2014,0,Beautiful. Another good place to get Scottish history.,tip,LOaX8KlbbnIuYYZCc758OA
F1-S8DkAsFIyrkfTl9MmlA,29/11/2015,0,Free today!,tip,4RU4zU3yDA3ewvrqE6kHLg
F1-S8DkAsFIyrkfTl9MmlA,21/11/2012,0,Admission is free on St Andrew's Day - the only day of the year they offer free admission!,tip,gxNLfuOCnHrH5kVVWhFDiQ
wjytooLlvPSyo8kvJ8UfQg,19/11/2014,0,Free to enter!,tip,JySNI9tIhmFFtUorc4zkwg
wjytooLlvPSyo8kvJ8UfQg,20/01/2014,0,Is free!!,tip,KMplxDK7d5FTD_5YbCUkIQ
u8AHL_4-zkivi7NDv_oApg,,,,,
yQMRUN3WlbZH-Fq__ubvXw,,,,,
hPKGcV4eh-6uoWrQToMIjw,24/08/2011,0,An overwhelming warren of spaces,tip,VBMd2f0ZQio7z8SQXK4r_w
L5cQjBQu6qnV_grmvk-drg,16/11/2012,0,Small gig so allow time in your schedule to beat the lunch rush.,tip,WPapRBgr61wnsM_4TEZgNg
tAoUsufHhcTRZEBTwmC68g,,,,,
QopG-46G0EIeePT8q-4JtQ,23/12/2012,0,Bloody Mary!,tip,tZs84cKAUSOtP_nAiSdreQ
QopG-46G0EIeePT8q-4JtQ,29/06/2013,0,Bon app̩tit !,tip,josuZwETSsqZ0v1ElPYwtw
QopG-46G0EIeePT8q-4JtQ,16/02/2014,0,Awesome beer and wine.list!,tip,KMplxDK7d5FTD_5YbCUkIQ
QopG-46G0EIeePT8q-4JtQ,06/11/2014,0,Stay away from the ribs,tip,M2pXDnR9uiBT55F40N6SDQ
QopG-46G0EIeePT8q-4JtQ,07/10/2012,0,"Had Brunch here today...Average is an understatement...Yikes!  Wasn't 1st choice, given that Broughton St has SO many options! Never again!",tip,Xk8WOG4_2sayloIV7A7Y8g
8RXIwWR34JunHKd00UU4wA,28/04/2012,0,"Current wifi password is ""greentea""",tip,Y4VovHrkfqDOdy9ZB5nntg
8RXIwWR34JunHKd00UU4wA,15/12/2012,0,Prized seat is near the fire downstairs!,tip,6ux_7Z6ycYYvC8PNxQbWfw
8RXIwWR34JunHKd00UU4wA,04/05/2014,0,Lovely place for a coffee and a cake. I've heard they serve a lovely lunch as well.,tip,eWYpoDd9x6cnQpY9IicQGQ
8RXIwWR34JunHKd00UU4wA,21/11/2014,0,Sehr guter Kaffee!,tip,xy3xmz1xh9wNiEGYvDixvA
